year_id,team_id,fran_id,elo_n
1980,ATL,Hawks,1582.3186586206898
1980,BOS,Celtics,1603.6862659340661
1980,CHI,Bulls,1418.8712060975606
1980,CLE,Cavaliers,1452.1828841463416
1980,DEN,Nuggets,1447.595318292683
1980,DET,Pistons,1362.2502365853659
1980,GSW,Warriors,1428.819457317073
1980,HOU,Rockets,1506.0860898876413
1980,IND,Pacers,1477.249406097561
1980,KCK,Kings,1569.431914117647
1980,LAL,Lakers,1625.2270387755102
1980,MIL,Bucks,1560.95645505618
1980,NJN,Nets,1441.9012585365851
1980,NYK,Knicks,1456.6374853658535
1980,PHI,Sixers,1621.905455
1980,PHO,Suns,1597.4263966666667
1980,POR,Trailblazers,1530.4879094117655
1980,SAS,Spurs,1511.2139435294123
1980,SDC,Clippers,1468.3203792682925
1980,SEA,Thunder,1632.3038587628869
1980,UTA,Jazz,1367.076536585366
1980,WSB,Wizards,1462.3558952380952
1981,ATL,Hawks,1472.0622890243899
1981,BOS,Celtics,1674.9213131313131
1981,CHI,Bulls,1505.6026204545458
1981,CLE,Cavaliers,1436.3280951219513
1981,DAL,Mavericks,1240.4097524390245
1981,DEN,Nuggets,1434.2031573170734
1981,DET,Pistons,1296.2981670731706
1981,GSW,Warriors,1472.9594195121954
1981,HOU,Rockets,1491.728290291263
1981,IND,Pacers,1524.0026190476194
1981,KCK,Kings,1501.093218556701
1981,LAL,Lakers,1637.2684800000002
1981,MIL,Bucks,1652.0975101123593
1981,NJN,Nets,1379.1170829268297
1981,NYK,Knicks,1537.3628714285715
1981,PHI,Sixers,1693.6547193877554
1981,PHO,Suns,1635.902796629214
1981,POR,Trailblazers,1495.4662388235297
1981,SAS,Spurs,1550.2741629213485
1981,SDC,Clippers,1437.8874512195116
1981,SEA,Thunder,1488.2522170731704
1981,UTA,Jazz,1378.845524390244
1981,WSB,Wizards,1488.0128548780485
1982,ATL,Hawks,1480.719410714286
1982,BOS,Celtics,1676.5398968085108
1982,CHI,Bulls,1483.3606073170736
1982,CLE,Cavaliers,1317.2951146341463
1982,DAL,Mavericks,1338.243474390244
1982,DEN,Nuggets,1502.8964176470586
1982,DET,Pistons,1466.624065853658
1982,GSW,Warriors,1510.163452439024
1982,HOU,Rockets,1514.777377647059
1982,IND,Pacers,1484.4129804878046
1982,KCK,Kings,1418.6889682926826
1982,LAL,Lakers,1614.3281822916667
1982,MIL,Bucks,1638.6591750000005
1982,NJN,Nets,1462.2378321428575
1982,NYK,Knicks,1484.1937317073173
1982,PHI,Sixers,1658.705874757281
1982,PHO,Suns,1558.87328764045
1982,POR,Trailblazers,1516.5549158536585
1982,SAS,Spurs,1539.1011373626377
1982,SDC,Clippers,1375.898059756097
1982,SEA,Thunder,1557.6203122222216
1982,UTA,Jazz,1355.5816890243898
1982,WSB,Wizards,1528.8602898876402
1983,ATL,Hawks,1506.2670999999998
1983,BOS,Celtics,1654.1035786516845
1983,CHI,Bulls,1416.6005524390248
1983,CLE,Cavaliers,1292.6508012195115
1983,DAL,Mavericks,1462.7265902439021
1983,DEN,Nuggets,1513.7299622222224
1983,DET,Pistons,1492.1175621951224
1983,GSW,Warriors,1443.9453304878048
1983,HOU,Rockets,1322.8947280487803
1983,IND,Pacers,1370.1781731707317
1983,KCK,Kings,1479.909070731707
1983,LAL,Lakers,1654.0810484536078
1983,MIL,Bucks,1607.7712307692318
1983,NJN,Nets,1570.3029047619045
1983,NYK,Knicks,1503.49435
1983,PHI,Sixers,1718.299387368421
1983,PHO,Suns,1583.83230117647
1983,POR,Trailblazers,1529.5807764044941
1983,SAS,Spurs,1561.9826172043001
1983,SDC,Clippers,1352.2386280487804
1983,SEA,Thunder,1558.4558178571428
1983,UTA,Jazz,1387.2181060975608
1983,WSB,Wizards,1512.0590109756104
1984,ATL,Hawks,1483.1517459770114
1984,BOS,Celtics,1647.147539047619
1984,CHI,Bulls,1414.0247036585363
1984,CLE,Cavaliers,1388.952906097561
1984,DAL,Mavericks,1498.3755510869564
1984,DEN,Nuggets,1491.75197816092
1984,DET,Pistons,1543.8528574712648
1984,GSW,Warriors,1431.9211670731704
1984,HOU,Rockets,1379.290775609756
1984,IND,Pacers,1369.959651219512
1984,KCK,Kings,1481.981788235294
1984,LAL,Lakers,1594.01892815534
1984,MIL,Bucks,1581.8321479591832
1984,NJN,Nets,1546.239167741935
1984,NYK,Knicks,1592.892203191489
1984,PHI,Sixers,1628.75257816092
1984,PHO,Suns,1523.1909020202022
1984,POR,Trailblazers,1563.2416873563213
1984,SAS,Spurs,1506.6806524390247
1984,SDC,Clippers,1400.2149890243904
1984,SEA,Thunder,1507.3205597701153
1984,UTA,Jazz,1492.8472010752691
1984,WSB,Wizards,1487.4012000000007
1985,ATL,Hawks,1470.7965524390238
1985,BOS,Celtics,1686.3284504854369
1985,CHI,Bulls,1448.46501627907
1985,CLE,Cavaliers,1415.781413953488
1985,DAL,Mavericks,1523.1990720930226
1985,DEN,Nuggets,1554.5723422680403
1985,DET,Pistons,1573.0211769230773
1985,GSW,Warriors,1358.2443292682926
1985,HOU,Rockets,1500.3409919540227
1985,IND,Pacers,1379.4785731707318
1985,KCK,Kings,1423.1980743902443
1985,LAC,Clippers,1412.2165573170737
1985,LAL,Lakers,1663.0926930693065
1985,MIL,Bucks,1642.3740944444455
1985,NJN,Nets,1521.723783529412
1985,NYK,Knicks,1432.2989939024387
1985,PHI,Sixers,1635.4873389473687
1985,PHO,Suns,1494.9452082352943
1985,POR,Trailblazers,1533.9490516483515
1985,SAS,Spurs,1491.7978413793107
